ukprn,max_award_amount,lower_award_amount,primary_key_contact_email_address
10007455,6000,3000,claimteacherid@gmail.com
10001165,5000,2500,claimteacherid@gmail.com
10001201,5000,2500,claimteacherid@gmail.com
10042362,5000,2500,claimteacherid@gmail.com
10001353,6000,3000,claimteacherid@gmail.com
10005972,6000,3000,claimteacherid@gmail.com
10001378,6000,3000,claimteacherid@gmail.com
10007817,6000,3000,claimteacherid@gmail.com
10001416,6000,3000,claimteacherid@gmail.com
10001446,5000,2500,claimteacherid@gmail.com
10005128,6000,3000,claimteacherid@gmail.com
10001467,6000,3000,claimteacherid@gmail.com
10007945,6000,3000,claimteacherid@gmail.com
10065146,6000,3000,claimteacherid@gmail.com
10001475,6000,3000,claimteacherid@gmail.com
10007578,6000,3000,claimteacherid@gmail.com
10001535,6000,3000,claimteacherid@gmail.com
10042041,6000,3000,claimteacherid@gmail.com
10001696,6000,3000,claimteacherid@gmail.com
10003010,6000,3000,claimteacherid@gmail.com
10001743,6000,3000,claimteacherid@gmail.com
10001778,6000,3000,claimteacherid@gmail.com
10001850,6000,3000,claimteacherid@gmail.com
10001919,6000,3000,claimteacherid@gmail.com
10001934,6000,3000,claimteacherid@gmail.com
10083743,6000,3000,claimteacherid@gmail.com
10004695,6000,3000,claimteacherid@gmail.com
10007924,6000,3000,claimteacherid@gmail.com
10092987,5000,2500,claimteacherid@gmail.com
10002094,6000,3000,claimteacherid@gmail.com
10004116,6000,3000,claimteacherid@gmail.com
10002111,6000,3000,claimteacherid@gmail.com
10047200,6000,3000,claimteacherid@gmail.com
10067981,6000,3000,claimteacherid@gmail.com
10002130,6000,3000,claimteacherid@gmail.com
10002923,6000,3000,claimteacherid@gmail.com
10006570,6000,3000,claimteacherid@gmail.com
10053859,6000,3000,claimteacherid@gmail.com
10065149,4000,2000,claimteacherid@gmail.com
10002370,5000,2500,claimteacherid@gmail.com
10045912,4000,2000,claimteacherid@gmail.com
10002412,5000,2500,claimteacherid@gmail.com
10002570,5000,2500,claimteacherid@gmail.com
10002599,6000,3000,claimteacherid@gmail.com
10002638,6000,3000,claimteacherid@gmail.com
10085525,6000,3000,claimteacherid@gmail.com
10002696,6000,3000,claimteacherid@gmail.com
10065147,4000,2000,claimteacherid@gmail.com
10002743,6000,3000,claimteacherid@gmail.com
10002770,5000,2500,claimteacherid@gmail.com
10002852,6000,3000,claimteacherid@gmail.com
10040630,6000,3000,claimteacherid@gmail.com
10053513,4000,2000,claimteacherid@gmail.com
10002899,6000,3000,claimteacherid@gmail.com
10088761,6000,3000,claimteacherid@gmail.com
10068120,6000,3000,claimteacherid@gmail.com
10093049,5000,2500,claimteacherid@gmail.com
10047216,5000,2500,claimteacherid@gmail.com
10002917,6000,3000,claimteacherid@gmail.com
10080810,4000,2000,claimteacherid@gmail.com
10005979,5000,2500,claimteacherid@gmail.com
10007977,6000,3000,claimteacherid@gmail.com
10007289,6000,3000,claimteacherid@gmail.com
10003022,5000,2500,claimteacherid@gmail.com
10062355,4000,2000,claimteacherid@gmail.com
10003023,5000,2500,claimteacherid@gmail.com
10003029,6000,3000,claimteacherid@gmail.com
10003035,6000,3000,claimteacherid@gmail.com
10003094,4000,2000,claimteacherid@gmail.com
10003128,5000,2500,claimteacherid@gmail.com
10003146,6000,3000,claimteacherid@gmail.com
10007193,6000,3000,claimteacherid@gmail.com
10003188,5000,2500,claimteacherid@gmail.com
10003193,6000,3000,claimteacherid@gmail.com
10003200,6000,3000,claimteacherid@gmail.com
10093051,4000,2000,claimteacherid@gmail.com
10005077,6000,3000,claimteacherid@gmail.com
10003427,6000,3000,claimteacherid@gmail.com
10003491,5000,2500,claimteacherid@gmail.com
10003511,6000,3000,claimteacherid@gmail.com
10003558,5000,2500,claimteacherid@gmail.com
10042040,4000,2000,claimteacherid@gmail.com
10065472,5000,2500,claimteacherid@gmail.com
10086880,5000,2500,claimteacherid@gmail.com
10046829,4000,2000,claimteacherid@gmail.com
10003676,6000,3000,claimteacherid@gmail.com
10003189,6000,3000,claimteacherid@gmail.com
10003753,6000,3000,claimteacherid@gmail.com
10003755,6000,3000,claimteacherid@gmail.com
10003768,6000,3000,claimteacherid@gmail.com
10090876,4000,2000,claimteacherid@gmail.com
10044606,5000,2500,claimteacherid@gmail.com
10003855,6000,3000,claimteacherid@gmail.com
10093053,5000,2500,claimteacherid@gmail.com
10003867,6000,3000,claimteacherid@gmail.com
10003899,6000,3000,claimteacherid@gmail.com
10003928,6000,3000,claimteacherid@gmail.com
10056979,5000,2500,claimteacherid@gmail.com
10037983,5000,2500,claimteacherid@gmail.com
10065007,6000,3000,claimteacherid@gmail.com
10000948,6000,3000,claimteacherid@gmail.com
10004088,4000,2000,claimteacherid@gmail.com
10064664,6000,3000,claimteacherid@gmail.com
10004108,6000,3000,claimteacherid@gmail.com
10004112,5000,2500,claimteacherid@gmail.com
10023139,6000,3000,claimteacherid@gmail.com
10024962,6000,3000,claimteacherid@gmail.com
10004125,6000,3000,claimteacherid@gmail.com
10004144,6000,3000,claimteacherid@gmail.com
10065462,4000,2000,claimteacherid@gmail.com
10004344,6000,3000,claimteacherid@gmail.com
10004340,6000,3000,claimteacherid@gmail.com
10004375,6000,3000,claimteacherid@gmail.com
10004432,6000,3000,claimteacherid@gmail.com
10004442,6000,3000,claimteacherid@gmail.com
10004478,6000,3000,claimteacherid@gmail.com
10004599,6000,3000,claimteacherid@gmail.com
10004552,6000,3000,claimteacherid@gmail.com
10006963,6000,3000,claimteacherid@gmail.com
10083760,6000,3000,claimteacherid@gmail.com
10065005,5000,2500,claimteacherid@gmail.com
10004576,6000,3000,claimteacherid@gmail.com
10063721,5000,2500,claimteacherid@gmail.com
10004579,6000,3000,claimteacherid@gmail.com
10004596,6000,3000,claimteacherid@gmail.com
10004603,6000,3000,claimteacherid@gmail.com
10004607,6000,3000,claimteacherid@gmail.com
10066505,5000,2500,claimteacherid@gmail.com
10004608,6000,3000,claimteacherid@gmail.com
10004686,6000,3000,claimteacherid@gmail.com
10004690,6000,3000,claimteacherid@gmail.com
10004721,6000,3000,claimteacherid@gmail.com
10004718,6000,3000,claimteacherid@gmail.com
10007011,6000,3000,claimteacherid@gmail.com
10004772,6000,3000,claimteacherid@gmail.com
10004785,6000,3000,claimteacherid@gmail.com
10004577,6000,3000,claimteacherid@gmail.com
10004835,6000,3000,claimteacherid@gmail.com
10065145,6000,3000,claimteacherid@gmail.com
10053874,5000,2500,claimteacherid@gmail.com
10005072,4000,2000,claimteacherid@gmail.com
10004676,6000,3000,claimteacherid@gmail.com
10005124,6000,3000,claimteacherid@gmail.com
10005200,6000,3000,claimteacherid@gmail.com
10063846,5000,2500,claimteacherid@gmail.com
10065941,5000,2500,claimteacherid@gmail.com
10094319,5000,2500,claimteacherid@gmail.com
10065473,4000,2000,claimteacherid@gmail.com
10005404,6000,3000,claimteacherid@gmail.com
10065148,4000,2000,claimteacherid@gmail.com
10089242,4000,2000,claimteacherid@gmail.com
10065834,6000,3000,claimteacherid@gmail.com
10003088,6000,3000,claimteacherid@gmail.com
10002863,6000,3000,claimteacherid@gmail.com
10005534,6000,3000,claimteacherid@gmail.com
10063421,6000,3000,claimteacherid@gmail.com
10005575,5000,2500,claimteacherid@gmail.com
10005032,6000,3000,claimteacherid@gmail.com
10046731,4000,2000,claimteacherid@gmail.com
10005669,6000,3000,claimteacherid@gmail.com
10005687,6000,3000,claimteacherid@gmail.com
10005810,6000,3000,claimteacherid@gmail.com
10039420,6000,3000,claimteacherid@gmail.com
10005822,6000,3000,claimteacherid@gmail.com
10005859,6000,3000,claimteacherid@gmail.com
10042335,4000,2000,claimteacherid@gmail.com
10067306,4000,2000,claimteacherid@gmail.com
10005946,6000,3000,claimteacherid@gmail.com
10064663,6000,3000,claimteacherid@gmail.com
10005967,6000,3000,claimteacherid@gmail.com
10093936,6000,3000,claimteacherid@gmail.com
10005977,6000,3000,claimteacherid@gmail.com
10005981,6000,3000,claimteacherid@gmail.com
10036143,6000,3000,claimteacherid@gmail.com
10007928,6000,3000,claimteacherid@gmail.com
10023526,6000,3000,claimteacherid@gmail.com
10003674,6000,3000,claimteacherid@gmail.com
10006038,6000,3000,claimteacherid@gmail.com
10006050,5000,2500,claimteacherid@gmail.com
10006130,5000,2500,claimteacherid@gmail.com
10006135,6000,3000,claimteacherid@gmail.com
10006148,4000,2000,claimteacherid@gmail.com
10008007,6000,3000,claimteacherid@gmail.com
10006174,6000,3000,claimteacherid@gmail.com
10006195,5000,2500,claimteacherid@gmail.com
10065835,6000,3000,claimteacherid@gmail.com
10009439,6000,3000,claimteacherid@gmail.com
10006349,6000,3000,claimteacherid@gmail.com
10006378,5000,2500,claimteacherid@gmail.com
10006398,6000,3000,claimteacherid@gmail.com
10006494,6000,3000,claimteacherid@gmail.com
10007938,6000,3000,claimteacherid@gmail.com
10006549,6000,3000,claimteacherid@gmail.com
10000756,5000,2500,claimteacherid@gmail.com
10000820,6000,3000,claimteacherid@gmail.com
10006813,6000,3000,claimteacherid@gmail.com
10003955,6000,3000,claimteacherid@gmail.com
10001550,4000,2000,claimteacherid@gmail.com
10007916,6000,3000,claimteacherid@gmail.com
10006341,6000,3000,claimteacherid@gmail.com
10003011,4000,2000,claimteacherid@gmail.com
10003406,6000,3000,claimteacherid@gmail.com
10083773,5000,2500,claimteacherid@gmail.com
10001503,6000,3000,claimteacherid@gmail.com
10006770,6000,3000,claimteacherid@gmail.com
10005788,6000,3000,claimteacherid@gmail.com
10005881,4000,2000,claimteacherid@gmail.com
10065175,4000,2000,claimteacherid@gmail.com
10000952,6000,3000,claimteacherid@gmail.com
10005998,6000,3000,claimteacherid@gmail.com
10065942,6000,3000,claimteacherid@gmail.com
10041654,6000,3000,claimteacherid@gmail.com
10055888,6000,3000,claimteacherid@gmail.com
10007063,5000,2500,claimteacherid@gmail.com
10005999,6000,3000,claimteacherid@gmail.com
10001476,6000,3000,claimteacherid@gmail.com
10086705,5000,2500,claimteacherid@gmail.com
10005736,5000,2500,claimteacherid@gmail.com
10007212,5000,2500,claimteacherid@gmail.com
10007315,6000,3000,claimteacherid@gmail.com
10007321,6000,3000,claimteacherid@gmail.com
10007339,6000,3000,claimteacherid@gmail.com
10007859,6000,3000,claimteacherid@gmail.com
10007417,6000,3000,claimteacherid@gmail.com
10007427,6000,3000,claimteacherid@gmail.com
10007431,6000,3000,claimteacherid@gmail.com
10007434,6000,3000,claimteacherid@gmail.com
10007459,6000,3000,claimteacherid@gmail.com
10007469,6000,3000,claimteacherid@gmail.com
10007500,6000,3000,claimteacherid@gmail.com
10007503,6000,3000,claimteacherid@gmail.com
10006864,6000,3000,claimteacherid@gmail.com
10007527,6000,3000,claimteacherid@gmail.com
10002107,5000,2500,claimteacherid@gmail.com
10007546,5000,2500,claimteacherid@gmail.com
10007553,6000,3000,claimteacherid@gmail.com
10007636,4000,2000,claimteacherid@gmail.com
10065150,5000,2500,claimteacherid@gmail.com
10087582,5000,2500,claimteacherid@gmail.com
10065366,5000,2500,claimteacherid@gmail.com
10007671,5000,2500,claimteacherid@gmail.com
10007673,5000,2500,claimteacherid@gmail.com
10007682,6000,3000,claimteacherid@gmail.com
10007696,6000,3000,claimteacherid@gmail.com
10007709,5000,2500,claimteacherid@gmail.com
